stress_test,model_name,n_examples,accuracy,precision,recall,f1,macro_f1
clean,tfidf_logreg,715,0.7062937062937062,0.6853146853146853,0.7967479674796748,0.7368421052631579,0.7022818121252499
clean,distilbert,715,0.7958041958041958,0.7699757869249395,0.8617886178861789,0.8132992327365729,0.7939952953806322
truncate_75,tfidf_logreg,715,0.7006993006993008,0.699228791773779,0.7371273712737128,0.7176781002638523,0.6996128596557356
truncate_75,distilbert,715,0.7566433566433567,0.7545691906005222,0.7831978319783198,0.7686170212765957,0.7559899265675014
truncate_50,tfidf_logreg,715,0.6853146853146853,0.7057142857142857,0.6693766937669376,0.6870653685674548,0.6853048361824616
truncate_50,distilbert,715,0.7342657342657343,0.7624633431085044,0.7046070460704607,0.7323943661971831,0.7342527386541471
truncate_25,tfidf_logreg,715,0.6727272727272727,0.7472527472527473,0.5528455284552846,0.6355140186915887,0.6692798519853883
truncate_25,distilbert,715,0.7076923076923077,0.7985074626865671,0.5799457994579946,0.6718995290423861,0.7041717065136268
delete_15,tfidf_logreg,715,0.7048951048951049,0.6889952153110048,0.7804878048780488,0.7318932655654383,0.7018719827049587
delete_15,distilbert,715,0.7776223776223776,0.7777777777777778,0.7967479674796748,0.7871485943775101,0.777176054143367
delete_30,tfidf_logreg,715,0.6923076923076923,0.6925064599483204,0.7262872628726287,0.708994708994709,0.6912926067228737
delete_30,distilbert,715,0.7426573426573426,0.7811550151975684,0.6964769647696477,0.7363896848137536,0.7425117822975872
