stress_test,alpha,target_coverage,empirical_coverage,avg_set_size,singleton_rate,empty_rate,full_set_rate
clean,0.1,0.9,0.8923076923076924,1.283916083916084,0.7160839160839161,0.0,0.2839160839160839
clean,0.05,0.95,0.9482517482517484,1.5216783216783216,0.4783216783216783,0.0,0.5216783216783217
truncate_75,0.1,0.9,0.8867132867132868,1.3146853146853146,0.6853146853146853,0.0,0.3146853146853147
truncate_75,0.05,0.95,0.953846153846154,1.572027972027972,0.427972027972028,0.0,0.5720279720279721
truncate_50,0.1,0.9,0.8657342657342657,1.3132867132867132,0.6867132867132867,0.0,0.3132867132867133
truncate_50,0.05,0.95,0.9594405594405594,1.648951048951049,0.351048951048951,0.0,0.6489510489510489
truncate_25,0.1,0.9,0.8713286713286713,1.4055944055944056,0.5944055944055944,0.0,0.4055944055944055
truncate_25,0.05,0.95,0.965034965034965,1.7706293706293703,0.2293706293706293,0.0,0.7706293706293706
delete_15,0.1,0.9,0.8881118881118881,1.2671328671328672,0.7328671328671329,0.0,0.2671328671328671
delete_15,0.05,0.95,0.953846153846154,1.5412587412587413,0.4587412587412587,0.0,0.5412587412587413
delete_30,0.1,0.9,0.8853146853146853,1.3202797202797203,0.6797202797202797,0.0,0.3202797202797203
delete_30,0.05,0.95,0.953846153846154,1.573426573426573,0.4265734265734265,0.0,0.5734265734265734
